product_code,product_name,category,f_sku,spec_code_size,unit
36.L1.3060.USC3627D.1,Gạch 30x60 MS USC3627D Loại 1,F_Bộ,USC3627-USC3627D-USC3628,3060,Viên
36.L1.3060.USC3628.1,Gạch 30x60 MS USC3628 Loại 1,F_Bộ,USC3627-USC3627D-USC3628,3060,Viên
36.L1.3060.USC3625D.1,Gạch 30x60 MS USC3625D Loại 1,F_Bộ,USC3625-USC3625D-USC3626,3060,Viên
22.C100.DG.TPRO2.00,Keo dán gạch KKS TilePro X2 C1,F_NonGach,22.C100.DG.TPRO2.00,DG,Kg
20.L1.8080.91860.5,Gạch 80x80 MS 91860 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
36.L1.3060.USC3625.1,Gạch 30x60 MS USC3625 Loại 1,F_Bộ,USC3625-USC3625D-USC3626,3060,Viên
20.L1.8080.91856.5,Gạch 80x80 MS 91856 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
36.L1.3060.USC3602D.1,Gạch 30x60 MS USC3602D Loại 1,F_Bộ,USC3602-USC3602D-USC3602V,3060,Viên
29.L1.3060.FC3638D.01,Gạch 30x60 MS FC3638D Loại 1,F_Bộ,FC3638-FC3638D-FC3639,3060,Viên
29.L1.3060.FC3640.01,Gạch 30x60 MS FC3640 Loại 1,F_Bộ,FC3640-FC3640D-FC3641,3060,Viên
29.L1.6060.FPH6001.3,Gạch 60x60 MS FPH6001 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
14.L1.3060.A36800.11,Gạch 30x60 MS A36800 Loại 1,F_Bộ,36800-36800D-36800V,3060,Viên
29.L1.4060.FX46202.01,Gạch 40x60 MS FX46202 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
14.L1.3060.A36822.9,Gạch 30x60 MS A36822 Loại 1,F_Bộ,36922-36822D-36822,3060,Viên
20.L1.6060.26905.6,Gạch 60x60 MS 26905 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
29.L1.6060.FPU6003.4,Gạch 60x60 MS FPU6003 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3603.1,Gạch 30x60 MS USC3603 Loại 1,F_Bộ,USC3603-USC3603D-USC3603V,3060,Viên
29.L1.3060.FC3636.01,Gạch 30x60 MS FC3636 Loại 1,F_Bộ,FC3636-FC3636D-FC3637,3060,Viên
20.L1.8080.91852.5,Gạch 80x80 MS 91852 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
36.L1.3060.USC3629.1,Gạch 30x60 MS USC3629 Loại 1,F_Bộ,USC3629-USC3629D-USC3630,3060,Viên
29.L1.4060.FXK46251.01,Gạch 40x60 MS FXK46251 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
10.L1.4080.4827.3,Gạch 40x80 MS 4827 Loại 1,F_Bộ,4827-4828-4829,4080,Viên
20.L1.6060.26903.6,Gạch 60x60 MS 26903 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
20.L1.6060.26901.5,Gạch 60x60 MS 26901 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
29.L1.3060.FC3622.07,Gạch 30x60 MS FC3622 Loại 1,F_Bộ,FC3622-FC3622D-FC3622V,3060,Viên
29.L1.3060.FC3622V.07,Gạch 30x60 MS FC3622V Loại 1,F_Bộ,FC3622-FC3622D-FC3622V,3060,Viên
36.L1.3060.USC3630.1,Gạch 30x60 MS USC3630 Loại 1,F_Bộ,USC3629-USC3629D-USC3630,3060,Viên
14.L1.3060.A36320.8,Gạch 30x60 MS A36320 Loại 1,F_Bộ,36420-36320D-36320,3060,Viên
29.L1.3060.FC3636D.01,Gạch 30x60 MS FC3636D Loại 1,F_Bộ,FC3636-FC3636D-FC3637,3060,Viên
29.L1.3060.FC3637.01,Gạch 30x60 MS FC3637 Loại 1,F_Bộ,FC3636-FC3636D-FC3637,3060,Viên
29.L1.6060.FPU6002.3,Gạch 60x60 MS FPU6002 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.3060.4559.4,Gạch 30x60 MS 4559 Loại 1,F_Bộ,4557-4558-4559,3060,Viên
29.L1.3060.FC3625.03,Gạch 30x60 MS FC3625 Loại 1,F_Bộ,FC3625-FC3625D-FC3625V,3060,Viên
29.L1.3060.FC3625V.03,Gạch 30x60 MS FC3625V Loại 1,F_Bộ,FC3625-FC3625D-FC3625V,3060,Viên
36.L1.3060.USC3603.2,Gạch 30x60 MS USC3603 Loại 1,F_Bộ,USC3603-USC3603D-USC3603V,3060,Viên
20.L1.8080.38901.4,Gạch 80x80 MS 38901 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
37.CG2A.CR.VINASTAR.00,Bột trét VINASTAR CG2A Trắng,F_NonGach,37.CG2A.CR.VINASTAR.00,CR,Kg
22.C100.DG.UNICHEMI.00,Keo dán gạch KKS Unichemi C1,F_NonGach,22.C100.DG.UNICHEMI.00,DG,Kg
10.L1.6060.74008.5,Gạch 60x60 MS 74008 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.8080.5887.7,Gạch 80x80 MS 5887 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
29.L1.4060.FXK46250.01,Gạch 40x60 MS FXK46250 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
36.L1.3060.USC3651.1,Gạch 30x60 MS USC3651 Loại 1,F_Bộ,USC3651-USC3651D-USC3652,3060,Viên
20.L1.6060.16903.5,Gạch 60x60 MS 16903 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
12.L1.3030.3005.22,Gạch 30x30 MS 3005 Loại 1,F_Solo,Solo3030.CeramicMatt/ Sugar,3030,Viên
20.L1.6060.36006.6,Gạch 60x60 MS 36006 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.6060.74002.4,Gạch 60x60 MS 74002 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.3060.4571.3,Gạch 30x60 MS 4571 Loại 1,F_Bộ,4571-4572-4573,3060,Viên
20.L1.8080.91851.5,Gạch 80x80 MS 91851 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
20.L1.8080.91858.6,Gạch 80x80 MS 91858 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
10.L1.5050.A5316.7,Gạch 50x50 MS A5316 Loại 1 6 viên,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
20.L1.8080.91853.5,Gạch 80x80 MS 91853 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
